cycle,module,op,latency_s,status,rss_kb,vmsize_kb,mem_available_kb,components_loaded,timestamp
9,llava,load,0.24,OK,2868,4560,46168656,"{"loaded":[{"unique_id":10;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":10};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:47:48Z
9,voxtral,unload,0.31,OK,2868,4560,46170248,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:47:54Z
9,voxtral,load,0.30,OK,2868,4560,46163492,"{"loaded":[{"unique_id":11;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":11};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:48:00Z
10,yolo,unload,0.24,FAIL,2868,4560,46162560,"{"loaded":[{"unique_id":11;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":11};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:48:06Z
10,yolo,unload_retry,0.34,FAIL_PERSISTENT,2868,4560,46174060,"{"loaded":[{"unique_id":11;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":11};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:48:22Z
10,llava,unload,0.28,FAIL,2868,4560,46170220,"{"loaded":[{"unique_id":11;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":11};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:48:28Z
10,llava,unload_retry,0.26,FAIL_PERSISTENT,2868,4560,46177132,"{"loaded":[{"unique_id":11;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":11};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:48:44Z
10,voxtral,unload,0.28,OK,2868,4560,46176236,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:48:50Z
10,yolo,load,0.27,OK,2868,4560,46168164,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:48:57Z
10,llava,load,0.26,OK,2868,4560,46169556,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:49:03Z
10,voxtral,load,0.33,OK,2868,4560,46172644,"{"loaded":[{"unique_id":12;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":12};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:49:09Z
11,yolo,unload,0.26,FAIL,2868,4560,46167736,"{"loaded":[{"unique_id":12;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":12};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:49:15Z
11,yolo,unload_retry,0.26,FAIL_PERSISTENT,2868,4560,46157468,"{"loaded":[{"unique_id":12;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":12};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:49:31Z
11,yolo,load,0.24,OK,2868,4560,46166636,"{"loaded":[{"unique_id":12;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":12};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:49:37Z
11,llava,unload,0.27,FAIL,2868,4560,46163188,"{"loaded":[{"unique_id":12;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":12};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:49:43Z
11,llava,unload_retry,0.30,FAIL_PERSISTENT,2868,4560,46171180,"{"loaded":[{"unique_id":12;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":12};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:49:59Z
11,llava,load,0.26,OK,2868,4560,46173088,"{"loaded":[{"unique_id":12;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":12};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:50:05Z
11,voxtral,unload,0.31,OK,2868,4560,46167336,"{"loaded":[];"tracked":{"camera":1;"yolo":3;"llava":4};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:50:11Z
11,voxtral,load,0.28,OK,2868,4560,46166376,"{"loaded":[{"unique_id":13;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":13};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:50:17Z
12,yolo,unload,0.25,FAIL,2868,4560,46171248,"{"loaded":[{"unique_id":13;"full_node_name":"ComponentManager"}];"tracked":{"camera":1;"yolo":3;"llava":4;"voxtral":13};"available":["camera";"yolo";"llava";"voxtral"]}",2026-07-12T19:50:23Z
